robot_id,time_s,axis_1,axis_2,axis_3,axis_4,axis_5,axis_6,axis_7,axis_8
RMBR4-1,0.0,10.7265652113572,11.193067185283946,13.377032388107176,14.185818618031062,14.462753046831155,15.621321753560162,16.75584072200686,17.66536695818773
RMBR4-1,1.0,10.781375368900187,11.277239136760874,13.30147057220696,14.114844448076234,14.559627412849851,15.558241008818335,16.583950233226673,17.835229076809245
RMBR4-1,2.0,10.995068544131215,11.457079036673552,13.479178912653225,14.35195514886982,14.496983174393641,15.363205998034587,16.70547529524361,17.864906666828443
RMBR4-1,3.0,10.899265461906214,11.400305415264066,13.57740588040098,14.197132173145718,14.20997636813833,15.430634438402464,16.656947310879158,17.769919492110038
RMBR4-1,4.0,10.623105042566726,11.458923301906333,13.51813266705687,14.165513856850824,14.162219562003225,15.49327477895638,16.751929208540414,17.550743010168016
RMBR4-1,5.0,10.48300284304256,11.361214860800619,13.19504035035917,13.892011559088534,14.030744057863318,15.771084696648314,16.73414774198515,17.50409636261063
RMBR4-1,6.0,10.745177355098711,11.425608995362976,12.951845399207084,14.001307534358466,14.102277705698695,15.581063019206537,16.90032224427719,17.60298949634943
RMBR4-1,7.0,10.81757709756516,11.422955970102862,12.889691114462783,13.962774786795737,14.060406127078412,15.477579483703181,16.92295473722025,17.61101331013444
RMBR4-1,8.0,10.670923720992791,11.429437442209064,13.136927163566776,13.972772599942992,13.95376947722219,15.5228937108501,17.092486112513154,17.68719703536696
RMBR4-1,9.0,10.83493748157426,11.419753779927765,13.12162494278959,14.101225816800264,14.185599105781549,15.579468518525369,17.007858934850855,17.599249782957678
RMBR4-1,10.0,11.002798993521779,11.640462559424973,13.276964363642733,14.197404312852361,14.163843737012222,15.646554234505095,17.02976773819387,17.77632357440813
RMBR4-1,11.0,11.113435446983102,11.42587266319288,13.30730982877203,14.198941588845537,14.257855877583616,15.51692647701049,17.083422482896083,17.656127061580186
RMBR4-1,12.0,11.150809389055153,11.767134232252197,13.436079433563341,14.409714849337373,14.085131554877698,15.571284372132878,16.731998110775464,17.463195511561135
RMBR4-1,13.0,11.112757062144212,11.698240781370497,13.454733497394495,14.006189435791113,14.07932837374811,15.607579071178053,16.673712215190832,17.594113831468395
RMBR4-1,14.0,11.112331019668588,11.762261244636353,13.253567431706793,13.985286529895012,14.240035737431205,15.465853947818612,16.79454984264582,17.83613495842407
RMBR4-1,15.0,10.835717429753709,11.636710981777416,13.282955131458788,14.210577105429714,14.384693649086373,15.422774875570989,16.915897940397663,17.83030535514534
RMBR4-1,16.0,10.64224472574931,11.432445720602377,13.466457670864227,14.198012664101629,14.63424205673835,15.624899220553162,16.897324680397364,17.715384342582627
RMBR4-1,17.0,10.851090511795633,11.415391017200886,13.443795756528145,14.375559073968954,14.66810106328907,15.732470443077625,16.929125228466727,17.57138191241513
